repository_name,Pritii-9/RepoLense
repository_url,https://github.com/Pritii-9/RepoLense

metric,value
file_count,110
line_count,8060
commit_count,1
duplicate_block_count,71
duplicate_line_count,426
average_cyclomatic_complexity,2.4
max_cyclomatic_complexity,13
maintainability_index,80.29
technical_debt_score,100.0

top_hotspots
file_path,entity_name,complexity,line_number
backend\app\services\llm_client.py,generate_structured,13,257
backend\app\services\vector_store.py,index_repository,13,60
backend\app\routers\chat.py,chat_with_repository,10,32
backend\app\config.py,sqlalchemy_database_url,9,90
backend\app\config.py,cors_origins_list,8,114
backend\app\tasks.py,_generate_architectural_insight,8,104
backend\app\tasks.py,run_analysis_pipeline,8,169
backend\app\routers\auth_fixed.py,verify_email,8,142
backend\app\services\code_analyzer.py,_calculate_python_quality_metrics,8,129
backend\app\services\llm_client.py,_init_provider,8,88
backend\app\services\code_analyzer.py,_iter_source_files,7,90
backend\app\services\code_analyzer.py,_calculate_duplicate_blocks,7,108
backend\app\services\llm_client.py,_extract_response_text,7,165
backend\app\config.py,Settings,6,14
backend\app\routers\auth_fixed.py,register_user,6,44
backend\app\services\github_fetcher.py,_run_command,6,55
backend\app\services\llm_client.py,LLMClient,6,65
backend\app\services\llm_client.py,__init__,6,68
backend\app\services\llm_client.py,_build_payload,6,131
backend\app\services\vector_store.py,VectorStoreService,6,35
